"Date","Price","Open","High","Low","Vol.","Change %"
"04-09-2026","3,628.00","3,628.00","3,628.00","3,628.00","","4.01%"
"03-09-2026","3,488.00","3,488.00","3,488.00","3,488.00","","4.71%"
"02-09-2026","3,331.00","3,331.00","3,331.00","3,331.00","","5.51%"
"01-09-2026","3,157.00","3,157.00","3,157.00","3,157.00","","-0.91%"
"28-08-2026","3,186.00","3,186.00","3,186.00","3,186.00","","2.54%"
"27-08-2026","3,107.00","3,107.00","3,107.00","3,107.00","","1.67%"
"26-08-2026","3,056.00","3,056.00","3,056.00","3,056.00","","4.44%"
"25-08-2026","2,926.00","2,926.00","2,926.00","2,926.00","","1.53%"
"24-08-2026","2,882.00","2,882.00","2,882.00","2,882.00","","1.44%"
"21-08-2026","2,841.00","2,841.00","2,841.00","2,841.00","","1.79%"
"20-08-2026","2,791.00","2,791.00","2,791.00","2,791.00","","0.54%"
"19-08-2026","2,776.00","2,776.00","2,776.00","2,776.00","","-1.39%"
"18-08-2026","2,815.00","2,815.00","2,815.00","2,815.00","","-2.19%"
"17-08-2026","2,878.00","2,878.00","2,878.00","2,878.00","","0.52%"
"14-08-2026","2,863.00","2,863.00","2,863.00","2,863.00","","0.67%"
"13-08-2026","2,844.00","2,844.00","2,844.00","2,844.00","","-3.23%"
"12-08-2026","2,939.00","2,939.00","2,939.00","2,939.00","","-3.51%"
"11-08-2026","3,046.00","3,046.00","3,046.00","3,046.00","","-1.20%"
"10-08-2026","3,083.00","3,083.00","3,083.00","3,083.00","","-0.19%"
"07-08-2026","3,089.00","3,089.00","3,089.00","3,089.00","","1.05%"
"06-08-2026","3,057.00","3,057.00","3,057.00","3,057.00","","-0.20%"
"05-08-2026","3,063.00","3,063.00","3,063.00","3,063.00","","4.33%"
"04-08-2026","2,936.00","2,936.00","2,936.00","2,936.00","","3.27%"
"03-08-2026","2,843.00","2,843.00","2,843.00","2,843.00","","4.06%"
"31-07-2026","2,732.00","2,732.00","2,732.00","2,732.00","","2.21%"
"30-07-2026","2,673.00","2,673.00","2,673.00","2,673.00","","1.56%"
"29-07-2026","2,632.00","2,632.00","2,632.00","2,632.00","","-1.20%"
"28-07-2026","2,664.00","2,664.00","2,664.00","2,664.00","","-1.19%"
"27-07-2026","2,696.00","2,696.00","2,696.00","2,696.00","","-1.71%"
"24-07-2026","2,743.00","2,743.00","2,743.00","2,743.00","","0.66%"
"23-07-2026","2,725.00","2,725.00","2,725.00","2,725.00","","0.37%"
"22-07-2026","2,715.00","2,715.00","2,715.00","2,715.00","","1.69%"
"21-07-2026","2,670.00","2,670.00","2,670.00","2,670.00","","-0.04%"
"20-07-2026","2,671.00","2,671.00","2,671.00","2,671.00","","-2.94%"
"17-07-2026","2,752.00","2,752.00","2,752.00","2,752.00","","-3.10%"
"16-07-2026","2,840.00","2,840.00","2,840.00","2,840.00","","-3.04%"
"15-07-2026","2,929.00","2,929.00","2,929.00","2,929.00","","-1.71%"
"14-07-2026","2,980.00","2,980.00","2,980.00","2,980.00","","0.68%"
"13-07-2026","2,960.00","2,960.00","2,960.00","2,960.00","","0.54%"
"10-07-2026","2,944.00","2,944.00","2,944.00","2,944.00","","1.17%"
"09-07-2026","2,910.00","2,910.00","2,910.00","2,910.00","","1.36%"
"08-07-2026","2,871.00","2,871.00","2,871.00","2,871.00","","-0.14%"
"07-07-2026","2,875.00","2,875.00","2,875.00","2,875.00","","2.79%"
"06-07-2026","2,797.00","2,797.00","2,797.00","2,797.00","","2.94%"
"03-07-2026","2,717.00","2,717.00","2,717.00","2,717.00","","2.53%"
"02-07-2026","2,650.00","2,650.00","2,650.00","2,650.00","","3.43%"
"01-07-2026","2,562.00","2,562.00","2,562.00","2,562.00","","2.44%"
"30-06-2026","2,501.00","2,501.00","2,501.00","2,501.00","","0.44%"
"29-06-2026","2,490.00","2,490.00","2,490.00","2,490.00","","-1.35%"
"26-06-2026","2,524.00","2,524.00","2,524.00","2,524.00","","-2.59%"
"25-06-2026","2,591.00","2,591.00","2,591.00","2,591.00","","-1.63%"
"24-06-2026","2,634.00","2,634.00","2,634.00","2,634.00","","-1.24%"
"23-06-2026","2,667.00","2,667.00","2,667.00","2,667.00","","-0.63%"
"22-06-2026","2,684.00","2,684.00","2,684.00","2,684.00","","-1.40%"
"19-06-2026","2,722.00","2,722.00","2,722.00","2,722.00","","2.37%"
"18-06-2026","2,659.00","2,659.00","2,659.00","2,659.00","","0.23%"
"17-06-2026","2,653.00","2,653.00","2,653.00","2,653.00","","-0.64%"
"16-06-2026","2,670.00","2,670.00","2,670.00","2,670.00","","-1.84%"
"15-06-2026","2,720.00","2,729.00","2,729.00","2,720.00","","-3.48%"
"09-06-2026","2,818.00","2,818.00","2,818.00","2,818.00","","-3.36%"
"08-06-2026","2,916.00","2,916.00","2,916.00","2,916.00","","-2.18%"
"05-06-2026","2,981.00","2,981.00","2,981.00","2,981.00","","-1.84%"
"04-06-2026","3,037.00","3,037.00","3,037.00","3,037.00","","-2.78%"
"03-06-2026","3,124.00","3,124.00","3,124.00","3,124.00","","-2.53%"
"02-06-2026","3,205.00","3,205.00","3,205.00","3,205.00","","-0.53%"
"01-06-2026","3,222.00","3,222.00","3,222.00","3,222.00","","-0.06%"
"29-05-2026","3,224.00","3,224.00","3,224.00","3,224.00","","-0.06%"
"28-05-2026","3,226.00","3,226.00","3,226.00","3,226.00","","3.27%"
"27-05-2026","3,124.00","3,124.00","3,124.00","3,124.00","","1.26%"
"26-05-2026","3,085.00","3,085.00","3,085.00","3,085.00","","3.14%"
"22-05-2026","2,991.00","2,991.00","2,991.00","2,991.00","","0.91%"
"21-05-2026","2,964.00","2,964.00","2,964.00","2,964.00","","-1.36%"
